eventname	origintime	hyplon	hyplat	hypdepth (km)	mw	network	station	stlon	stlat	stelev	hypdist	duration_e	duration_n	duration_horiz	pga	pgv	tPGV_origin	tPGV_parriv	tPGA_origin	tPGA_parriv	polygon	ask14	sk13	z16	ask14_dE	ask14_dE_std	ask14_dS	ask14_dS_std	ask14_dPol	ask14_dPol_std	ask14_dP	sk13_dE	sk13_dE_std	sk13_dS	sk13_dS_std	sk13_dPol	sk13_dPol_std	sk13_dP	z16_dE	z16_dE_std	z16_dS	z16_dS_std	z16_dPol	z16_dPol_std	z16_dP
127	2020/4/11T10:22:55.6	26.1795	35.2176	21	4.8	HT	AGG	22.336	39.0211	625	543.3152511	60	60	60	5.48E-05	6.06E-06	-17139538.75	-17139547.95	-17139560.25	-17139569.45	1	-0.868341414	-0.86639947	-1.921047874	-0.225334057	0.110173683	-0.224912951	0.206388664	-0.121445062	0.10801017	-0.280701196	-0.112820926	0.106491447	-0.375815447	0.197332842	-0.178695094	0.099378435	-0.283669541	1.008544521	0.116456224	-0.316543242	0.19991724	-0.13043653	0.110764729	-0.285993133
150	2020/5/2T12:51:9.2	25.6915	34.4366	9	6	HT	AGG	22.336	39.0211	625	590.4473318	60	60	60	0.00033461	7.20E-05	-15316225.74	-15316234.94	-15316225.33	-15316234.53	1	-0.789483743	-1.1153646	-0.784632656	-0.930147423	0.106111378	-0.224912951	0.206388664	-0.121445062	0.10801017	0.50296984	-1.180843283	0.102497743	-0.375815447	0.197332842	-0.178695094	0.099378435	0.535387685	1.292843971	0.112683034	-0.316543242	0.19991724	-0.13043653	0.110764729	0.566122636
157	2020/5/2T16:44:31.3	25.6375	34.4577	5	4.8	HT	AGG	22.336	39.0211	625	585.9219477	60	60	60	3.92E-05	5.61E-06	-15302239.21	-15302248.41	-15302251.63	-15302260.83	1	-0.80141308	-0.87176784	-1.901328448	-0.245896595	0.11412002	-0.224912951	0.206388664	-0.121445062	0.10801017	-0.193210324	-0.194919121	0.110326472	-0.375815447	0.197332842	-0.178695094	0.099378435	-0.206939717	0.940341723	0.12013804	-0.316543242	0.19991724	-0.13043653	0.110764729	-0.198070909
184	2020/5/16T2:30:28.1	25.719	34.3469	8	4	HT	AGG	22.336	39.0211	625	600.3422284	60	60	60	2.60E-05	1.09E-06	-14143881.73	-14143890.93	-14143881.63	-14143890.83	1	0.647568317	0.444531386	-1.732823087	-0.030194475	0.132544136	-0.224912951	0.206388664	-0.121445062	0.10801017	1.040068953	-0.03559069	0.128296532	-0.375815447	0.197332842	-0.178695094	0.099378435	0.950031078	-0.033928878	0.137582008	-0.316543242	0.19991724	-0.13043653	0.110764729	0.944705054
190	2020/5/18T4:18:23.7	25.6998	34.4962	14	4.6	HT	AGG	22.336	39.0211	625	585.1867362	60	60	60	3.79E-05	3.57E-06	-13964600.21	-13964609.41	-13964622.88	-13964632.08	1	-0.40998442	-0.505988696	-1.806197143	-0.515807616	0.110764242	-0.224912951	0.206388664	-0.121445062	0.10801017	0.468129357	-0.461402119	0.107071669	-0.375815447	0.197332842	-0.178695094	0.099378435	0.425322425	0.400549135	0.117004469	-0.316543242	0.19991724	-0.13043653	0.110764729	0.436852984
196	2020/5/18T23:22:37.2	25.5762	34.3066	7	5.2	HT	AGG	22.336	39.0211	625	597.9556869	60	60	60	6.24E-05	1.12E-05	-13895943.75	-13895952.95	-13895948.63	-13895957.83	1	-1.006251054	-1.122364296	-1.64203334	-0.826509415	0.104603435	-0.224912951	0.206388664	-0.121445062	0.10801017	0.182564521	-0.81379422	0.101050847	-0.375815447	0.197332842	-0.178695094	0.099378435	0.161338926	0.823476381	0.11129827	-0.316543242	0.19991724	-0.13043653	0.110764729	0.178089541
316	2020/6/19T7:43:22.0	25.5606	34.3295	8	4.6	HT	AGG	22.336	39.0211	625	595.052572	60	60	60	3.63E-05	3.08E-06	-11187506.72	-11187515.92	-11187499	-11187508.2	1	-0.360377366	-0.473449985	-1.767709981	-0.098974396	0.138576471	-0.224912951	0.206388664	-0.121445062	0.10801017	0.100903191	-0.085283974	0.13413432	-0.375815447	0.197332842	-0.178695094	0.099378435	0.081742991	0.783643284	0.143382198	-0.316543242	0.19991724	-0.13043653	0.110764729	0.092245997
317	2020/6/19T20:34:11.9	25.5322	34.5557	30	4.4	HT	AGG	22.336	39.0211	625	572.5121493	60	60	60	2.56E-05	1.85E-06	-11141254.83	-11141264.03	-11141250.93	-11141260.13	1	-0.489616639	-0.590791684	-2.181390298	-0.16009215	0.147186193	-0.224912951	0.206388664	-0.121445062	0.10801017	0.032781672	-0.097269299	0.142537541	-0.375815447	0.197332842	-0.178695094	0.099378435	-0.023613383	0.488463149	0.151742973	-0.316543242	0.19991724	-0.13043653	0.110764729	-0.026254185
337	2020/6/28T11:18:35.0	26.6757	35.5289	8	4.4	HT	AGG	22.336	39.0211	625	546.1462254	60	60	60	0.000113992	2.06E-06	-10397007.63	-10397016.83	-10397021.29	-10397030.49	1	0.752676202	0.696058063	-0.910019237	-0.007932511	0.176900345	-0.224912951	0.206388664	-0.121445062	0.10801017	1.122914874	0.062978717	0.171382307	-0.375815447	0.197332842	-0.178695094	0.099378435	1.102988348	0.645813932	0.181209306	-0.316543242	0.19991724	-0.13043653	0.110764729	1.087766094
476	2020/10/12T0:30:41.2	26.293	35.6314	21	5.1	HT	AGG	22.336	39.0211	625	514.6606041	60	60	60	7.01E-05	9.24E-06	-1277489.85	-1277499.052	-1277489.96	-1277499.162	1	-1.500605262	-1.454480782	-2.143613427	-0.868885145	0.104558228	-0.224912951	0.206388664	-0.121445062	0.10801017	-0.269413957	-0.718689592	0.101010256	-0.375815447	0.197332842	-0.178695094	0.099378435	-0.265882188	0.762958612	0.111240824	-0.316543242	0.19991724	-0.13043653	0.110764729	-0.262972776
